EventID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date,Keywords,Topics
E1,Tech Empowerment Workshop,RR Campus,ACM-W,"A hands-on workshop focused on empowering women in technology. Participants will engage in coding exercises, discussions on the latest tech trends, and gain valuable insights to boost their confidence in the tech world.",,2023-05-05 0:00:00,"['trends', 'focused', 'research', 'world', 'empowering', 'valuable',  'discussions', 'confidence', 'latest', 'gain',  'workshop', 'technology', 'hands', 'insights', 'seminars', 'women', 'exercises', 'coding',  'boost']","[(1, 0.9540771298459843)]"
E219,Community Cleanup Drive,RR Campus,Rotaract Club of PES University,Join us in a community cleanup drive to contribute to the betterment of our local environment. Let's come together to make a positive impact and promote cleanliness and sustainability.,Certificates of Appreciation,2023-05-06 0:00:00,"['cleanup', 'service', 'sustainability', 'drive', 'let', 'contribute', 'environment', 'Social Service', 'come',  'betterment', 'join', 'promote', 'make', 'local', 'community', 'impact', 'social', 'cleanliness']","[(1, 0.34679159590284986), (121, 0.6074369140607428)]"
E11,Community Clean-Up Drive,RR Campus,Aikya,A community service event focusing on cleaning and beautifying public spaces. Participants will work together to contribute to the well-being of the community and promote a sense of responsibility.,Clean-Up Drive Participation Certificates,2023-05-07 0:00:00,"['public', 'service', 'focusing',  'cleaning', 'work', 'spaces', 'beautifying', 'promote', 'contribute', 'responsible', 'social',  'sense', 'community', 'responsibility']","[(1, 0.938769491949621)]"
E19,Community Clean-Up Day,RR Campus,CSR CLUB PESU,A day dedicated to community service through a campus clean-up initiative. Members will collaborate to enhance the cleanliness and sustainability of the campus environment.,Environmental Certificates,2023-05-08 0:00:00,"[ 'service', 'enhance', 'sustainability', 'campus', 'initiative', 'clean', 'social', 'environment', 'dedicated', 'cleanliness', 'community', 'collaborate', 'day', 'awareness']","[(1, 0.9387694927043966)]"
E29,Leadership Development Workshop,RR Campus,DHRUVA Forum,"A workshop focusing on leadership development. Participants will engage in activities and discussions to enhance their leadership skills, emphasizing principles-centered leadership and cheerful leadership.",Leadership Workshop Certificates,2023-05-09 0:00:00,"['development', 'personality',  'principles', 'focusing',  'centered',  'enhance', 'leaders', 'workshop', 'discussions', 'emphasizing', 'educating', 'skills', 'cheerful', 'activities', 'leadership']","[(1, 0.4085872738114107), (3, 0.5353519687855823)]"
E46,Space Exploration Symposium,RR Campus,Equinox-The Space Club,"A symposium exploring recent advancements in space exploration. Participants will hear from experts in the field, engage in discussions, and learn about the exciting developments in Space Science and Technology.",Exploration Symposium Certificates,2023-05-10 0:00:00,"['advancements',  'experts', 'Space Science and Technology', 'exploring', 'exploration', 'field', 'symposium',  'discussions',  'recent', 'developments', 'exciting', 'space', 'science', 'hear', 'technology']","[(0, 0.21061650510300806), (1, 0.7450131825906986)]"
E54,Game Jam: CodeFrenzy,RR Campus,Game development club,"A game jam event challenging developers to create games within a specified time frame. Participants will showcase their coding and design skills, fostering creativity in game development.",CodeFrenzy Game Jam Awards,2023-06-08 0:00:00,"['development', 'game', 'fostering',  'games',  'time', 'coding', 'design', 'jam', 'create', 'showcase', 'skills', 'frame', 'developers', 'specified', 'creativity', 'challenging']","[(0, 0.9456128001926901)]"
E61,CodeJam: Programming Competition,RR Campus,Google Developer Student Clubs (GDSC),A coding competition challenging participants to solve algorithmic problems and showcase their programming skills. Prizes will be awarded to top performers.,Coding Books,2023-06-09 0:00:00,"['awarded', 'Google',   'Google Developer Student Clubs', 'programming', 'coding', 'developer', 'problems', 'showcase', 'technology', 'skills', 'competition', 'solve', 'algorithmic', 'challenging', 'performers']","[(1, 0.9516601507024391)]"
E71,Coding Challenge Marathon,RR Campus,HackerSpace,"A coding marathon challenging participants to solve a series of complex coding problems. The event will test problem-solving skills, coding efficiency, and collaboration among participants.",Coding Books,2023-06-10 0:00:00,"['compete', 'research', 'skills', 'strengthen', 'solve',  'discussions', 'peers', 'challenging', 'enhance', 'abilities', 'technology', 'seminars', 'designed', 'women', 'coding', 'marathon', 'technology', 'problems']","[(0, 0.634857686065684), (21, 0.31693517232231877)]"
E81,IEEE Awareness Seminar,RR Campus,IEEE PESU Student Branch,A seminar introducing students to IEEE and its vast divisions. Participants will gain insights into the various technical fields covered by IEEE and the opportunities available for involvement.,IEEE Awareness Certificates,2023-06-11 0:00:00,"['introducing', 'ieee', 'opportunities', 'fields', 'IEEE',  'covered', 'vast', 'seminar', 'divisions', 'various', 'available', 'students', 'technical', 'involvement', 'gain', 'insights']","[(1, 0.5470802865348474), (7, 0.40080598206151524)]"
